experiment_id,date,parent,candidate,gap,mechanism,invariants,development_split,development_result,holdout_hash,holdout_result,btc_result,verdict,reopen_condition
PERF-DIVERSITY-SPARSE-SIGNATURE-236,2026-08-28,"81c28a13b0e199cdbb8aaaf130488640e0e0a472 (canonical production source 18ecdd3)","reverted working-tree candidate; parent historical 7438B2FA9171B2492E9C6DBE38C73584F3C10AD41A1F18F06A53F4932BB37739; candidate historical EBF649E6E45B902936F80B31D5E125B804BC078D0486DBBA0E2DA829E6AC619C; candidate BTC 021731138FB61C09EC04E17BEA4101E889FA0889F5F28D3E6E0A3E8B65A7BEFE","Experiment 234 measured population maintenance at 78.102% of DFS time overall and 73.499-84.645% in every tier. Exact roadFootprint L1 distance scans the full map-sized vector for every candidate pair even though only visited road entries are nonzero.","Within each retain_alns_population call precompute every candidate's sorted nonzero roadFootprint signature. Use exact sparse merge only when combined nonzeros are fewer than the common dense length; otherwise retain the exact dense loop. Keep terminal/fuel/plan distance and every selection rule unchanged; do not cache pair results.","No designed functionality removed, disabled, deferred or reduced; nothing deleted; signatures are local and observationally transparent; sparse and dense paths compute identical L1 distance; candidate set/order/comparator/distance tuple/deadline/caps unchanged; complete oracle/action-score-state-validator equivalence required; canonical main cap 5000 ms; holdout once on VM; BTC target-host required before promotion.","Frozen manifest research/holdouts/PERF-DIVERSITY-SPARSE-SIGNATURE-236.csv SHA256 70A338D104DCF70AB8F5D857BDC80AAB5BB7363F83B9CE9DA635C4B85708BA4E: 60 development and 108 sealed holdout pairs across four tiers, fixed/deadline roles, generated low/default/high families and 5000/15000-ms windows. Development gate unchanged from 235. Population oracle byte-identical over 1000 seeds/16000 candidates (SHA256 12B1889394F6654AE69ED73195B7235FD43196E839825026C5C1E2B802695E4F); tests and 5000-seed master oracle pass. Frozen runner/resume/summarizer SHA256: 1E5A6800F7F87372A37C237A89321B7E1238DC6915CC05BDB5D8D8285F0BFF53 / 4AA9705B192173EED5DDAAB47712CD6C870CAE11750AEE9912F386C479DDD65E / 81350D6BDD32933AAEBBF91C2F6BFE28DADCF7DD855DAE5C280DCC21F217E7D8. Development may run local; sealed holdout once on VM.","Development completed 60 pairs: sparse signatures 19/31/10, all tier 3, aggregate +49, gain/loss tails +139/-90, zero safety failure. Low fuel was 2/9/3 and easy was 1/13/2, each violating the preregistered no-negative-stratum gate; role and window strata were nonnegative. Log 58D3FAC48DF1639882568BF55028660C2E1BC032060002C19227BAA2948F2885; summary 63B29F3DF61649B8DA13D04EAAA080A39DEA95765D799F15D6C75AB9FF887B15.",70A338D104DCF70AB8F5D857BDC80AAB5BB7363F83B9CE9DA635C4B85708BA4E,"sealed-unopened; never inspected",not-run,rejected,"Reopen performance only from a fresh target-host counterexample or newly attributed mechanism outside pair caching, sparse footprint signatures, IPO/PGO and compiler-flag tuning, with a fresh unopened manifest; never inspect the sealed 236 holdout or tune from consumed development cases."
PERF-DIVERSITY-DISTANCE-CACHE-235,2026-08-28,"81c28a13b0e199cdbb8aaaf130488640e0e0a472 (canonical production source 18ecdd3)","reverted working-tree candidate; parent historical 7438B2FA9171B2492E9C6DBE38C73584F3C10AD41A1F18F06A53F4932BB37739; candidate historical D7515E214FEBAD287DE4997D87BC500CA5613A9A876AB7A1F21E78DF9FEB75BB","Experiment 234 measured candidate population maintenance at 78.102% of DFS time overall and 73.499-84.645% in every difficulty tier. retain_alns_population repeatedly recomputes the same exact pairwise terminal/fuel/road-footprint/plan distances for surviving candidates.","Within each retain_alns_population call, use the already sorted population index as a collision-free local identity and memoize the existing CandidateDiversityDistance in a reset dense matrix. Keep better_candidate, sorting, diversity slot selection and every distance component unchanged.","No designed functionality removed, disabled, deferred or reduced; nothing deleted; cache resets before selection and cannot survive sort/move/invocation/day; candidate set/order/comparator/distance/deadline/caps unchanged; complete oracle/action-score-state-validator equivalence required; canonical main cap 5000 ms; holdout once on VM; BTC target-host required before promotion.","Frozen manifest research/holdouts/PERF-DIVERSITY-DISTANCE-CACHE-235.csv SHA256 2B5EB995C029D0960D36DDDE13765E1E40D951A30828CEEAD88C71FC2D5617E1: 60 development and 108 sealed holdout pairs across four tiers, fixed/deadline roles, generated low/default/high families and 5000/15000-ms windows. Population oracle was byte-exact over 1000 seeds/16000 candidates (SHA256 12B1889394F6654AE69ED73195B7235FD43196E839825026C5C1E2B802695E4F); tests and 5000-seed master oracle passed. Development gate required zero safety failure, no aggregate tier1/2 regression, wins > losses, positive tier3 aggregate if tier1/2 tied, and no negative difficulty/fuel/role/window W/L stratum.","Development completed 60 pairs: cache 24/19/17, all tier 3, aggregate +106, gain/loss tails +311/-205, zero safety failure. Fixed role was 8/10/12, violating the preregistered no-negative-stratum gate; deadline role was 16/9/5. Log 8B4E752E880FF9CF691718AD9AC3E6B5AA809AECEE85D8A5AE83D709B6F23A99; summary A3FC204DE941D803A5EEC86896183AF9840304464D9D6BA6353BD3BC9FD79C2F.",2B5EB995C029D0960D36DDDE13765E1E40D951A30828CEEAD88C71FC2D5617E1,"sealed-unopened; never inspected",not-run,rejected,"Reopen population maintenance only from a different exact data-structure mechanism and a fresh unopened manifest; never tune from 235 development or inspect the sealed holdout."
ATTR-MASTER-LEAF-COST-234,2026-08-28,"81c28a13b0e199cdbb8aaaf130488640e0e0a472 (canonical production source 18ecdd3)",reverted-research-only-instrumentation,"BTC m-4476 attributes 6542553 us over seven days to aggregate DFS but did not expose its leaf costs.","Measure every existing DFS leaf phase without changing selection, then revert all telemetry and use only the completed attribution to register a separate optimization.","No designed functionality removed, disabled, deferred or reduced; nothing deleted; no candidate or policy change; no holdout or promotion authority.","Frozen 16-case attribution manifest SHA256 240E75931C297A5A22AFC40B1201BCDE115A1A40CC7FF75568B93BB2C0F13A9B across four tiers, role modes and 5000/15000-ms windows. Initial shell failed before evidence; corrected runner completed 15 atomic cases, then exact resume completed only registered seed 9423101.","16/16 cases, 120 days, zero invalid/emergency and stderr empty. DFS total 157851198 us; measured phases 98.893%. Population maintenance 123285073 us (78.102%), simulator 6.929%, validator 6.883%, canonicalization 2.718%; population remained 73.499-84.645% across all four tiers. Log 2B6DF317177D090EC38F0A43DE7E512C824D08187B6D0D736FB3122402E61EBE; summary CB793B9558AA2D39E5E3C9974A7E7C7F1E3BA0B28CDBD4370780BB12B4A7E600.",240E75931C297A5A22AFC40B1201BCDE115A1A40CC7FF75568B93BB2C0F13A9B,not-applicable,not-run,accepted-attribution,"Closed completely; reopen attribution only if a later profiler exposes a different unresolved aggregate hotspot."
PERF-WHOLE-PROGRAM-IPO-233,2026-08-28,"81c28a13b0e199cdbb8aaaf130488640e0e0a472 (canonical production source 18ecdd3)","build-only IPO candidate historical binary 4813D9695C4EE3C002464DEF5920F663B5E7E1F89EB808C763830231EB33560F; parent historical binary A255EAC43555AFA7D64A42BD4A232C9B75DCEC8FE7116E27D3B9A2869F47BF75","Release uses MSVC /O2 /Ob2 without whole-program IPO; determine whether portable IPO yields general extra completed work without changing source semantics.","Build identical source with and without IPO; require exact operation-equivalence off deadline, then paired score evidence because wall-clock cutoff can change completed search.","No designed functionality removed, disabled, deferred or reduced; nothing deleted; official lexicographic score; exact simulator and independent validator; canonical 5000-ms checkpoint and public-window certificate unchanged; no fixture routing; sealed holdout once.","Frozen manifest research/holdouts/PERF-WHOLE-PROGRAM-IPO-233.csv SHA256 13B63A618EF483F6A448EE644BA55289090DEB76709DCAB57340BA9AFF0288B7: 60 development and 108 sealed holdout pairs across four tiers, role modes, low/default/high fuel and 5000/15000-ms windows.","Development completed 60 pairs: IPO 16/39/5, all tier 3, aggregate +133, gain/loss tails +178/-45, zero safety failure; complete 5000-seed oracle was exact. Development log D3BB83B4AE624C1D79F9E27C8F8877747D933C817BC11F13D8688070456F9214; summary 905A743569D18CA6396929EE8A617AEF50DCC0E82E47488C401CF989A55F1FF7.",13B63A618EF483F6A448EE644BA55289090DEB76709DCAB57340BA9AFF0288B7,"Holdout completed 108 pairs: IPO 20/62/26, all tier 3, aggregate -71, gain/loss tails +280/-351, zero safety failure. The run was later found host-load confounded: parent-first half was +1 while IPO-first half was -72, with only about 1.1 GiB RAM available during a contemporaneous check. This cannot promote IPO or unconsume/reopen the holdout; it limits causal interpretation of the compiler axis. Log E085909A9507970C4947E0E79DBD124C14F954C194D8FE50C4047C5631F94B54; summary ECBFF178CCCCCE32FA063791B02A62185BC9DDFBC8BF2A018491E5CFD86A02B9.",not-run,rejected,"Do not retry IPO, PGO or compiler-flag tuning on consumed 233 evidence. Reopen performance only from a different profiler-identified source mechanism, fresh manifest and VM holdout."
SCORE-PROOF-PROTECTED-CONTINUATION-232-v2,2026-08-27,1f30e69,rejected-working-tree,"The 232 invariant-derived proof consumer remained untested because v1 source audit found stale final-day transition/componentwise checks in the historical closed-loop harness before any partial score was inspected.","Keep the 232 proof consumer unchanged; correct every historical public-continuation final-day gate to the production rule: dual-engine exact validity plus official lexicographic non-regression/strict gain, with transition and componentwise ledger dominance retained on every nonterminal day.","No designed functionality removed or reduced; canonical main/role/5000ms checkpoint unchanged; proof generation identical on both sides; exact simulator and independent validator; final-day certificate matches production; fresh seeds; no v1 score inspected or reused; sealed holdout once only.","Fresh replacement manifest completed 24 paired 5000ms controls plus 60 paired 15000ms development cases across four tiers, low/default/high fuel, fixed/native roles and six families. Manifest 6EF6FFA72F5CADA334D5A0C22C845DED03C1522FC743AFCD416F44B404C40513; source B4985EE90EF5D0B6CE2F6919C7D60DACB29EF871E0452D3BEC5D2A461D68F1CF; Linux binary 705B524677D2A639AE7FD7776F00607410BF307AE345DA1961AD93B5A3B23701; runner 28354D9FBE2CFD82B95E2C5A9A70E87828F25478FCF26640B8DD41523165D46B; summarizer C535F66D605D410AD4ED72DB2D6708B948F2AF0F8B07961CBE00F90B4212EA2F.","Control 2/22/0 net +6 servings with zero activation, violating exact equivalence. Public15 development 4/50/6 net -23; enabled side had 51 eligible and 15 exact-valid witnesses but zero acceptances, so every score difference was noncausal cutoff variance. Zero safety failures. Logs: control off 3B132CB3C711C6D673A4297F64C03224F28288FD88641800F1D2CAD2AA2F704A, control on 8F2D8887F09B6045FBB46A475BDE7FDB73673C287E7FBDE8FECE812D6DEBB652, development off 156AA37DFA6DF4857C35145086B8694A67AFAA828F5986E0E36A32B7671556B4, development on 2F9B2A1FA84132E327AD25CE3E3AA0D38FD166D794380C7700F8ED90605E8CD4.",6EF6FFA72F5CADA334D5A0C22C845DED03C1522FC743AFCD416F44B404C40513,sealed-unopened,not-run,rejected,"Reopen only from a new current-authoritative certificate domain or proof construction that can produce a protected acceptance on fresh unopened seeds; never retry or tune the retained frozen-scenario argmax consumer from consumed 232 development evidence."
SCORE-PROOF-PROTECTED-CONTINUATION-232,2026-08-27,1f30e69,invalid-preaudit-working-tree,"Strong proof is completed, serialized and restored but has no sound decision consumer. Direct W0 injection in 230 produced only causal losses, while 231 ACK rebasing lost proof coverage and had high-fuel downside. The still-unexplored safe boundary is using the already-computed argmax only after the complete protected public-window prefix and only under the same transition-dominance certificate as accepted 219/210.","Retain the complete proof argmax path on both causal sides. Do not feed it to W0 or any canonical search. After the existing public continuation reaches fixed point, exact-simulate and independently validate current-day proof witnesses. Accept a nonterminal witness only with equal road footprint, identical terminal cells, patrol fuel >=, brand monotonicity and strict official day gain; terminal day requires exact validity and strict official lexicographic gain. Fail closed to the frozen incumbent.","No designed function removed or reduced; canonical main/role/complete checkpoint hard cap 5000ms and byte path unchanged; existing public continuation is a protected prefix and never loses time to this suffix; proof generation/search space identical between causal sides; exact simulator plus independent validator; no W0 seed or candidate-pool perturbation; no fixture routing; authoritative public window only; holdout once only.","V1 stopped after 15 control-off cases. No partial score was inspected. Audit found two later closed-loop checks and the older non-propagating probe still imposed terminal transition/componentwise dominance on the final day, contradicting the authoritative terminal certificate.","Invalid operational evidence; never score, resume or mix with v2.",42CC8EEEF031C27C85BA7168C2187AEA7A60AED3E60061213743D0497763F670,sealed-unopened,not-run,invalid-preaudit,"Superseded only by corrected revision v2 on fresh seeds. V1 root and partial logs are permanently non-evidence."
SCORE-ACTUAL-ACK-TRANSITION-ANCHOR-231-v2,2026-08-27,"231-v1 invalid working tree over e8bf766 plus accepted 227/228","rejected-working-tree-revision-v2","231-v1 mixed a certified virtual state/ledger with an authoritative applied state/ledger, compared raw DayScore across those domains, retained pending virtual state in MatchSession background work and incorrectly required transition equality on the final day.","Pass certified and applied domains separately. Exact-evaluate and dual-validate in the applied domain; require nonterminal transition plus post-day ledger dominance or final-day official lexicographic non-regression; retain the applied state/ledger and exact anchor for background work while preserving the certified response ledger; downgrade suffix certificates when the anchored transition or ledger differs.","No designed capability removed; response certificate remains the frozen checkpoint; exact simulator and independent validator; nonterminal protected transition and ledger dominance; terminal official non-regression; flag-off parent-equivalent; 5000ms main/checkpoint unchanged; no fixture routing; holdout remains sealed.","Fresh VM development completed 60+60 under one frozen v2 binary. Manifest F7E6DB5791C2FBEB7D9F60B29525004712CB77F9C6E64D5CB8A42D975A644B04; runner 5F982006F410D3AE888C74633BB5A7F0BDBD7D4ACB59B1E44120E8453E79894F; summarizer 92DAD659DB1818C260B4E942CD128F85AC78AECCCA726D12702DD90CD57CEDC7; source 8C207E1CE5CE30A5B63B8E6B18F1B2FBD69BA5D8F7EDC9B80A1EE04981510CA6; Linux binary 4E1865493CE996CC5C52797F585680D4984C17F2C211E05061AB542A98464815; launcher 98A0B32E175B3E2FEB63F22FCB7A0E374588B9CAA2CD5B9DD0D67A81439A3F0C.","Candidate vs parent 7/47/6, all 13 differences tier3, aggregate 0/0/+1. Safety counters were zero and 56/60 cases rebased, but high fuel was 2/11/3 net -13 with a -15 tail; proof coverage fell by one completed proof and one strong-proof record. Only 12/13 score differences activated the mechanism. Logs off SHA256 6B1A833698CA929215600F3D36358C314FEEB0FF7DCF60FCEE23AB39AADA6826 and on SHA256 8DE0CDE21721C47192943CE77338A03D9C790A4C1EAC09AF6707A1A95E90A557.",F7E6DB5791C2FBEB7D9F60B29525004712CB77F9C6E64D5CB8A42D975A644B04,sealed-unopened,not-run,rejected,"Reopen only from a new invariant-derived consumer with fresh unopened seeds that preserves proof coverage and prevents systematic fuel-regime downside; do not reactivate the rejected ACK anchor directly or reopen 230 automatically."
SCORE-ACTUAL-ACK-TRANSITION-ANCHOR-231,2026-08-27,"e8bf766 plus accepted 227/228 production-source diff SHA256 c7c173d456d905dfe7c09564a7eeb3aba50f88cc",invalid-working-tree-v1,"HTTP may send an exact-validated protected refinement/public continuation but acknowledge_submitted records the original pendingDecision, so background precompute/proof starts from the poorer checkpoint score/fuel rather than the richer transition actually accepted. This is not the direct cause of 230 witness invalidation because the protected transition preserves footprint/terminal cells and cannot reduce fuel; it is an opportunity-cost gap.","V1 attempted a separate exact acknowledged-transition anchor but compared raw DayScore and transition equality across mismatched virtual and authoritative domains.","No designed function removed; holdout stayed sealed; v1 result prefix has no score authority.","Frozen v1 60+60 development. Manifest F7E6DB5791C2FBEB7D9F60B29525004712CB77F9C6E64D5CB8A42D975A644B04; source CC5237AC45F11748E7691A173215A842B0F9B8D39B6E5FCAB0123438026A3E15; Linux binary 27C72E463DFBA48E12212C4964805182A59D73AE5B8AD875415790423B41D4D5.","Off completed60/60; on stopped9/60 at seed5341001 with acknowledged transition does not dominate the certified checkpoint. Logs off DD05F483504063AE0464A173AC9EA15F552C85247DE5C161CF42B58A69540866 and partial-on FE8637D86727571873B4E21791B9EAFB5A07145E397FA37545A1327AC87356B4.",F7E6DB5791C2FBEB7D9F60B29525004712CB77F9C6E64D5CB8A42D975A644B04,sealed-unopened,not-run,invalid-operational,"Superseded only by registered revision v2 using explicit certified and applied domains; never resume or mix v1 logs."
SCORE-POSTACK-PROOF-WITNESS-230,2026-08-26,"e8bf766 plus accepted 227/228 working source diff SHA256 97B9D096B1BFFA10432EB4EE476C651531D0BA389FE441DFDE2658C7D34720CD",rejected-working-tree,"prove_remaining_horizon fully enumerates a persistent frozen-scenario route portfolio and persists bestScore/upperBound but discards the exact argmax path, leaving completed designed proof work without a next-day decision effect. Rejected 229 showed undirected broad cache volume alone is not causal.","Under a default-off flag carry the exact plan path through the existing proof DFS. Only when a proof is complete and feasible, deduplicate its first plan into the existing next-day contingency cache under the proof scenario. Retain a complete certified suffix only on no-road maps; traffic maps retain only the first plan. W0 exact-revalidates it on the next authoritative state and the normal comparator decides adoption.","No designed function removed; no main solve role checkpoint deadline comparator simulator validator or submission change; proof starts and search space unchanged; incomplete proof cannot emit a proof witness; proof score and upper bound remain frozen-portfolio scoped and never prune global actions; every adopted first plan exact-validates on authoritative state; no fixture routing; canonical main/checkpoint hard cap 5000 ms.","Frozen 60-pair VM development across four map tiers, low/default/high fuel and fixed/native roles; sealed 108-case holdout remained unopened.","Frozen VM development completed 60+60 with unchanged hashes and empty stderr. Candidate vs parent 5/45/10, all differences tier3, aggregate 0/0/-17; zero safety failures; equal aggregate proof coverage at 49 completed and 465 records. Candidate produced 47 proof witnesses in 20 cases, 21 were reused and 26 rejected. Fourteen cases reused a witness. The only two score differences with witness production/reuse were both losses: -2 servings on seed 5321000 and -22 on seed 5323023; no causal gain. Logs off SHA256 3C6A66B0E8C1B155F2FCA87A1DFBCC612D204D123C2B4F8933F169978F3F1C17 and on SHA256 1B9A2416DF9BF436FDAB0FB782DBDA630C72251E6A0F34B719E3C11FD10FBE2A.",741944ED1C48FFF5BEBB3E3EF7D33BA82E77959136CC25D5592F97639544D8B3,unopened,not-run,rejected,"Reopen only with a new sound certificate consumer and fresh unopened seeds. Direct canonical W0 injection is closed; first attribute authoritative-state/ACK anchor drift and preserve strong proof as designed capability."
SCORE-POSTACK-CONTINGENCY-DIVERSIFICATION-229,2026-08-26,"e8bf766 plus frozen 227/228 working source diff d56b9d3c4cd8894137a328ee42765902792cc2b6",rejected-working-tree,"ATTR-228 restored response-artifact survival but its sole 8/37/117 tail had no valid full-daily cached plan; repeated narrow slice work could prevent broader next-day candidates from being generated.","Preserve the parent narrow phase, retain scenario progress across slices, and use only residual plus one parent-equivalent confirmation slice for a nested production-width diversified portfolio before mandatory strong-proof search.","No parent cache removal; proof starts no later than parent; no main-solve, checkpoint, comparator, simulator, validator, deadline or submission change; exact next-day revalidation; no fixture routing; zero safety failures.","Frozen 60-pair development across four map tiers, low/default/high fuel and fixed/native roles; canonical solve 3375 ms plus at most 1600 ms post-ACK in 100 ms slices. Frozen manifest SHA256 9D28F7FE1088AC6D46CB11C075D26663A7387C4497E408A6E816946C7C65CE33 and summarizer SHA256 35C79E33D26527252BAFDE54EB047022BBADC799B3092CFE2FD59BB4B04ABA59.","Corrected VM development completed 60+60 with empty stderr and unchanged hashes. Candidate versus parent 5/49/6, all differences tier3, aggregate 0/0/-68; low fuel 1/20/4 net -73, native 2/16/3 net -64; zero invalid/emergency/checkpoint/midday/terminal failures; proof coverage exactly equal at 38 completed and 458 records. Candidate generated 3021 diversified contingencies in 22 activated cases, but every activated pair tied and all 11 score differences occurred without activation, so no score effect was causal. Logs off SHA256 B7369E35B51CCC722DAA896D7337B3F26A7F62F9680845D30396A997461A22CB and on SHA256 0D2DC5A58045F77040C9D41D072518805A8300BF21C2BA193B182B58E55B26E5.",9D28F7FE1088AC6D46CB11C075D26663A7387C4497E408A6E816946C7C65CE33,unopened,not-run,rejected,"Reopen only with a new invariant-derived consumer or generator that demonstrates next-day adoption causally on fresh development seeds while preserving proof coverage; do not reuse the unopened 229 split automatically."
ATTR-CONTINGENCY-HARNESS-PARITY-228,2026-08-26,working-tree-227-frozen-F99E9FD08DA43E370964203D98C343A71EECE0EE,working-tree-replay-counterfactual-cache-parity,"Audit of accepted attribution226 found that replay-counterfactual calls record_submitted then precompute_next_day_contingencies and immediately calls record_applied_transition. record_applied_transition clears cachedContingencies and strongProofs, so every generated post-ACK contingency is deleted before the next replay day. The recorded 33% to 12% tail reduction therefore cannot be attributed to the live contingency net, and the registered 222 reopen condition remains unresolved.","Fix only replay-counterfactual post-ACK lifecycle order: an accepted decision uses record_submitted as the authoritative transition recorder, then precomputes response artifacts which remain active for the next replay day exactly like HTTP acknowledge_submitted. Remove the redundant record_applied_transition call only from postAckMs>0 counterfactual mode. Preserve postAckMs=0 byte behavior. Print existing cached_contingency previews before the next solve as the structural parity witness.","No HTTP sandbox engine planner comparator simulator validator deadline or production path change; record_submitted already owns belief footprint expectedNextAgents and acknowledged response artifacts for an accepted submission; record_applied_transition remains active for external/fallback transitions and is removed only from the duplicate accepted-counterfactual call; exact replay fixture and fixed role mask; local elapsed is not performance authority; consumed replay is attribution only and cannot promote a score candidate.","Frozen manifest ATTR-CONTINGENCY-HARNESS-PARITY-228.csv SHA256 A914D1C9674EA839667EBAAE4826E255C43393D1C41AB0B963726959FAE3C425. On one quiet VM run round-robin no-ACK control 12 reps buggy226 12 reps and cache-faithful candidate 24 reps on frozen m-4195 SHA256 3204E239... mask4 response5000 postAck2000. Structural gate: buggy lane emits zero next-day cached previews; candidate emits valid previews whenever prior post-ACK added a contingency. Causal classification on clustered day3 states: valid full-daily cache adopted/no drop closes 222; valid cache present but drop opens adoption gap; no cache plus drop opens retry/generation gap.","Complete 48/48 on quiet VM with empty stderr and frozen hashes intact. Control 12/12 and buggy226 12/12 both scored 8/40/130 and emitted zero previews. Cache-faithful emitted 596 previews and scored 8/40/130 in 23/24 plus one 8/37/117 tail. The tail had eight day4 previews but six invalid and valid plans only 1/3 and 7/11; no valid full-daily cache. Raw archive SHA256 069DCE99186433C2C05A999311F3840CBDF9081CD9C60EF9539FDC1D2DB512B6.",not-applicable,not-applicable,not-run,accepted-harness-correctness-generation-gap,"Closed: lifecycle parity restored and 226 superseded. Register a fresh-seed SCORE successor for post-ACK-only generation/diversification; preserve the canonical solve and exact next-day validation. Never reuse m-4195 for promotion or tuning."
PERF-ROLE-DIAGNOSTIC-ISOLATION-227,2026-08-26,e8bf766,working-tree-diagnostic-result-isolation,"ATTR-224 added rolloutDailyTrace directly to RoleAssignment and writes it inside every timed rollout. No decision reads the field, but the larger copied object plus per-day vector clear/push are on HTTP/sandbox role-selection paths. Because role selection is deadline-bounded and known bistable near cutoff, dead-to-comparator instrumentation is still score-affecting and prevents a clean direct-parent claim for accepted 225.","Restore RoleAssignment to the baebad8 layout. Preserve the complete 224 diagnostic through a separate RoleSelectionDiagnostics result and compile-time-specialized select/rollout implementation: production select_roles_until instantiates trace capture false, while replay-roles and historical harness --role-details instantiate trace capture true and receive traces aligned to the final ranked assignments. No runtime flag or branch enters the production hot loop.","No designed functionality removed, disabled, deferred or reduced: every intended diagnostic caller still obtains the same per-day values from the same rollout; HTTP/sandbox/main callers retain the original RoleAssignment responsibility and have no trace allocation/write; 225 fallback logic unchanged; official comparator/simulator/validator/deadlines unchanged; direct-parent layout restored; exact replay gates required; local elapsed has no authority; BTC target-host required before final promotion.","Frozen development: 32 fresh cases across short low-fuel/live-like and medium/general controls, including canonical 5000ms role windows. Frozen replacement holdout PERF-ROLE-DIAGNOSTIC-ISOLATION-227-v2.csv runs 40 fresh cases per side sequentially on one quiet Spot VM after the original local candidate-only holdout was consumed without score inspection.","Development candidate vs e8bf766 9/18/5 net +40; candidate vs clean 225 parent baebad8 11/12/9 net +85; zero tier loss; exact replay and diagnostic trace gates passed.",D526D86C5A9D9762B1FE873A2421BD5A51146EDC627F3B30E775128ABDDF1A8B,"Authoritative VM holdout complete 120/120 with empty stderr and zero invalid/emergency. Candidate vs e8bf766 1/36/3 net -4, all first differences tier3 (+1,-1,-1,-3), zero tier1/tier2 loss. Candidate vs baebad8 6/33/1 net +229: five tier2 wins totaling +22 daily, one tier3 +2, one tier3 -1. Evidence archive SHA256 E1007CF6055D27D3C6B8338A7CA94433F6658EBA54793EF198F24C0809ED6FF9.","Stable-network advanced m-4290 on the current integrated Windows binary used 24x24, seven days, 100 steps, four agents, 18 spots, six brands and low fuel. It selected PTPP (3 Patrol + 1 Tanker), completed 7/7 exact-valid ACKed days with zero retry/deadline skip/recovery wait, max end-to-end response 3340ms, mean 2995.6ms and max decision solve 2683ms. Exact replay 6/42/159 with six reconciled transitions; replay SHA256 47BC89693F014D8FD2ABF83F5E4599C3619DB9A4FBC3426B22374AD76A61C9D6. Rank 1 is operational context only.",accepted,"Reopen or revert on lost diagnostic capability, semantic mismatch, reproducible tier1/tier2 regression, systematic tier3 downside, or BTC target-host lifecycle/composition/latency failure."
ATTR-CONTINGENCY-FAITHFUL-TAIL-226,2026-08-26,e5d476c,replay-counterfactual --post-ack-ms instrument,"222 reopen condition (b): the m-4195 PPTP 117-tail (4/12 offline runs lose 3 tier-2 daily via day-3 terminal clustering) was measured with an instrument that lacks the live post-ACK safety net - run_replay_counterfactual never calls precompute_next_day_contingencies or record_applied_transition while the live loop arms 2-5 cached contingencies per day and showed zero occurrences (m-4208/m-4209 full daily every day). Unknown: does the contingency net actually absorb the clustered-start day-4 search failures or was live just lucky in two matches?","Instrument-only change to btc_main replay-counterfactual: new --post-ack-ms N flag (default 0 = byte-identical current behavior); when N>0 after each day the loop calls engine.record_applied_transition and engine.precompute_next_day_contingencies with an N-ms deadline mirroring the live post-ACK path. Measurement pre-declared: 12 runs m-4195 mask4 --post-ack-ms 2000 vs the closed 222 baseline {117 x4 130 x8}. Decision rule: tail eliminated (12/12 full tier-2 daily) -> close 222 axis fully with live-faithful evidence; tail persists materially -> reopen 222 as SCORE per its registered condition.","No engine or production-path change (btc_main replay-counterfactual mode only; engine methods already public); default 0 byte-identical; binary gates: udonshield_tests pass and replay-check m-4043/44/45 exact; 12-run count pre-declared; baseline frozen in 222 evidence",research/evidence/ATTR-CONTINGENCY-FAITHFUL-TAIL-226-runs.log,"The recorded distribution was factual but not causal evidence for the live cache: 228 proved that the generated artifacts were immediately cleared before the next replay day. The apparent 33 percent to 12 percent reduction was unpaired sampling variance. Original log hashes remain consumed evidence.",-,-,"Not proven; 228 supersedes the live-protection claim.",superseded-invalid-attribution,"Closed by 228. Reopen only through a fresh-seed post-ACK generation/diversification SCORE experiment; never reuse m-4195 for promotion or tuning."
